"2020-04-27 10:50:00","Рязанская область",3
"2020-04-27 10:50:00","Волгоградская область",2
"2020-04-27 10:50:00","Брянская область",1
"2020-04-27 10:50:00","Карачаево-Черкесская Республика",1
"2020-04-27 10:50:00","Нижегородская область",1
"2020-04-27 10:50:00","Псковская область",1
"2020-04-27 10:50:00","Республика Саха (Якутия)",1
"2020-04-27 10:50:00","Ростовская область",1
"2020-04-27 10:50:00","Удмуртская Республика",1
"2020-04-27 10:50:00","Ульяновская область",1
"2020-04-27 10:50:00","Ханты-Мансийский автономный округ",1
"2020-04-27 10:50:00","Ярославская область",1
"2020-04-28 10:50:00","Москва",44
"2020-04-28 10:50:00","Республика Хакасия",5
"2020-04-28 10:50:00","Калужская область",4
"2020-04-28 10:50:00","Московская область",3
"2020-04-28 10:50:00","Самарская область",3
"2020-04-28 10:50:00","Красноярский край",2
"2020-04-28 10:50:00","Липецкая область",2
"2020-04-28 10:50:00","Магаданская область",2
"2020-04-28 10:50:00","Белгородская область",1
"2020-04-28 10:50:00","Кемеровская область",1
"2020-04-28 10:50:00","Пензенская область",1
"2020-04-28 10:50:00","Республика Ингушетия",1
"2020-04-28 10:50:00","Смоленская область",1
"2020-04-28 10:50:00","Удмуртская Республика",1
"2020-04-28 10:50:00","Чеченская Республика",1
"2020-04-29 10:45:00","Москва",67
"2020-04-29 10:45:00","Московская область",16
"2020-04-29 10:45:00","Ставропольский край",4
"2020-04-29 10:45:00","Нижегородская область",2
"2020-04-29 10:45:00","Санкт-Петербург",2
"2020-04-29 10:45:00","Кабардино-Балкарская Республика",1
"2020-04-29 10:45:00","Кировская область",1
"2020-04-29 10:45:00","Краснодарский край",1
"2020-04-29 10:45:00","Ленинградская область",1
"2020-04-29 10:45:00","Омская область",1
"2020-04-29 10:45:00","Оренбургская область",1
"2020-04-29 10:45:00","Орловская область",1
"2020-04-29 10:45:00","Пермский край",1
"2020-04-29 10:45:00","Республика Дагестан",1
"2020-04-29 10:45:00","Республика Ингушетия",1
"2020-04-29 10:45:00","Республика Мордовия",1
"2020-04-29 10:45:00","Республика Саха (Якутия)",1
"2020-04-29 10:45:00","Республика Татарстан",1
"2020-04-29 10:45:00","Ростовская область",1
"2020-04-29 10:45:00","Тульская область",1
"2020-04-29 10:45:00","Челябинская область",1
"2020-04-29 10:45:00","Ярославская область",1
"2020-04-30 10:35:00","Москва",65
"2020-04-30 10:35:00","Брянская область",4
"2020-04-30 10:35:00","Ставропольский край",4
"2020-04-30 10:35:00","Московская область",3
"2020-04-30 10:35:00","Ростовская область",3
"2020-04-30 10:35:00","Орловская область",2
"2020-04-30 10:35:00","Пермский край",2
"2020-04-30 10:35:00","Тверская область",2
"2020-04-30 10:35:00","Удмуртская Республика",2
"2020-04-30 10:35:00","Амурская область",1
"2020-04-30 10:35:00","Белгородская область",1
"2020-04-30 10:35:00","Воронежская область",1
"2020-04-30 10:35:00","Ивановская область",1
"2020-04-30 10:35:00","Красноярский край",1
"2020-04-30 10:35:00","Нижегородская область",1
"2020-04-30 10:35:00","Омская область",1
"2020-04-30 10:35:00","Республика Бурятия",1
"2020-04-30 10:35:00","Республика Ингушетия",1
"2020-04-30 10:35:00","Республика Саха (Якутия)",1
"2020-04-30 10:35:00","Республика Северная Осетия - Алания",1
"2020-04-30 10:35:00","Тамбовская область",1
"2020-04-30 10:35:00","Тульская область",1
"2020-04-30 10:35:00","Ханты-Мансийский автономный округ",1
"2020-05-01 10:35:00","Москва",47
"2020-05-01 10:35:00","Московская область",16
"2020-05-01 10:35:00","Архангельская область",4
"2020-05-01 10:35:00","Санкт-Петербург",4
"2020-05-01 10:35:00","Ростовская область",3
"2020-05-01 10:35:00","Владимирская область",2
"2020-05-01 10:35:00","Калининградская область",2
"2020-05-01 10:35:00","Ленинградская область",2
